,Title,Genre,Premiere,Runtime,IMDB Score,Language
0,#REALITYHIGH,Comedy,8-Sep-17,99,5.2,English
1,13th,Documentary,7-Oct-16,100,8.2,English
2,13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,26-Jan-17,36,7.1,English
3,15-Aug,Comedy-drama,29-Mar-19,124,5.8,Marathi
4,1922,Horror/Crime drama,20-Oct-17,102,6.3,English
5,22-Jul,Drama,10-Oct-18,144,6.8,English
6,5 Star Christmas,Comedy,7-Dec-18,95,4.6,Italian
7,6 Balloons,Drama,6-Apr-18,75,5.9,English
8,6 Underground,Action,13-Dec-19,128,6.1,English
9,7 años,Drama,28-Oct-16,76,6.8,Spanish
10,A 3 Minute Hug,Documentary,28-Oct-19,28,6.5,English/Spanish
11,A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,15-Oct-20,98,5.4,English
12,A California Christmas,Romantic comedy,14-Dec-20,107,5.8,English
13,A Christmas Prince,Romantic comedy,17-Nov-17,92,5.8,English
14,A Christmas Prince: The Royal Baby,Romantic comedy,5-Dec-19,85,5.4,English
15,A Christmas Prince: The Royal Wedding,Romantic comedy,30-Nov-18,92,5.3,English
16,A Fall from Grace,Thriller,17-Jan-20,120,5.9,English
17,A Futile and Stupid Gesture,Biographical/Comedy,26-Jan-18,101,6.8,English
18,A Life of Speed: The Juan Manuel Fangio Story,Documentary,20-Mar-20,92,6.8,Spanish
19,A Love Song for Latasha,Documentary,21-Sep-20,19,6.8,English
20,A Secret Love,Documentary,29-Apr-20,82,7.9,English
21,A Tale of Two Kitchens,Documentary,22-May-19,30,6.3,English/Spanish
22,A Very Murray Christmas,Comedy / Musical,4-Dec-15,56,5.5,English
23,A Week Away,Christian musical,26-Mar-21,97,5.7,English
24,A Whisker Away,Anime/Fantasy,18-Jun-20,104,6.7,Japanese
25,After Maria,Documentary,24-May-19,37,4.6,English/Spanish
26,After the Raid,Documentary,19-Dec-19,25,4.3,Spanish
27,Airplane Mode,Comedy,23-Jan-20,96,5,Portuguese
28,Ajeeb Daastaans,Drama,16-Apr-21,142,6.7,Hindi
29,AK vs AK,Thriller,24-Dec-20,108,6.9,Hindi
30,Alex Strangelove,Romantic comedy,8-Jun-18,99,6.3,English
31,Alien Xmas,Stop Motion,20-Nov-20,42,6.2,English
32,All Because of You,Action comedy,1-Oct-20,101,4.2,Malay
33,All Day and a Night,Drama,1-May-20,121,5.8,English
34,All in My Family,Documentary,3-May-19,39,6.8,English/Mandarin
35,All the Bright Places,Romance,28-Feb-20,108,6.5,English
36,All Together Now,Drama,28-Aug-20,93,6.5,English
37,Altered Carbon: Resleeved,Anime/Science fiction,19-Mar-20,74,6.5,Japanese
38,Always Be My Maybe,Romantic comedy,31-May-19,102,6.8,English
39,Amanda Knox,Documentary,30-Sep-16,92,6.9,English
40,Amateur,Sports-drama,6-Apr-18,96,5.9,English
41,American Factory,Documentary,21-Aug-19,110,7.4,English
42,American Factory: A Conversation with the Obamas ,Aftershow / Interview,21-Aug-19,10,5.2,English
43,American Murder: The Family Next Door,Documentary,30-Sep-20,82,7.2,English
44,American Son,Drama,1-Nov-19,90,5.8,English
45,Anelka: Misunderstood,Documentary,5-Aug-20,94,6.4,French
46,Angela's Christmas,Animation,30-Nov-18,30,7.1,English
47,Angela's Christmas Wish,Animation,1-Dec-20,47,7.1,English
48,Anima,Musical / Short,27-Jun-19,15,7.7,English
49,Antoine Griezmann: The Making of a Legend,Documentary,21-Mar-19,60,6.5,French
50,Apostle,Horror-thriller,12-Oct-18,129,6.3,English
51,"Ariana Grande: Excuse Me, I Love You",Concert Film,21-Dec-20,97,6.4,English
52,Arlo the Alligator Boy,Animated musical comedy,16-Apr-21,92,6.7,English
53,Army of the Dead,Zombie/Heist,21-May-21,148,5.9,English
54,ARQ,Science fiction/Thriller,16-Sep-16,88,6.4,English
55,Athlete A,Documentary,24-Jun-20,104,7.6,English
56,Audrie & Daisy,Documentary,23-Sep-16,98,7.2,English
57,Back to School,Comedy,30-Aug-19,83,5.3,French
58,Bad Trip,Hidden-camera prank comedy,26-Mar-21,86,6.6,English
59,Baggio: The Divine Ponytail,Biopic,26-May-21,92,6.2,Italian
60,"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,22-Nov-17,108,7.5,English
61,Barry,Biopic,16-Dec-16,104,5.8,English
62,Beasts of No Nation,War drama,16-Oct-15,136,7.7,English/Akan
63,Beats,Drama,19-Jun-19,110,7.1,English
64,Becoming,Documentary,6-May-20,89,6.8,English
65,Been So Long,Musical,26-Oct-18,100,5.5,English
66,Below Zero,Drama,29-Jan-21,106,6.2,Spanish
67,Ben Platt: Live from Radio City Music Hall,Concert Film,20-May-20,85,8.4,English
68,Benji,Family film,16-Mar-18,87,6.3,English
69,Between Two Ferns: The Movie,Comedy,20-Sep-19,82,6.1,English
70,Bigflo & Oil: Hip Hop Frenzy,Documentary,8-Oct-20,100,6.9,French
71,Biggie: I Got a Story to Tell,Documentary,1-Mar-21,97,6.9,English
72,"Bikram: Yogi, Guru, Predator",Documentary,20-Nov-19,86,6.7,English
73,Bird Box,Psychological thriller,21-Dec-18,124,6.6,English
74,Birders,Documentary,25-Sep-19,37,6.4,English/Spanish
75,Blackpink: Light Up the Sky,Documentary,14-Oct-20,79,7.5,Korean
76,Blame!,Anime/Science fiction,20-May-17,106,6.7,Japanese
77,Blue Miracle,Drama,27-May-21,95,6.7,English
78,Bomb Scared,Black comedy,12-Oct-17,89,5.6,Spanish/Basque
79,Brahman Naman,Comedy,7-Jul-16,95,5.6,English
80,Brene Brown: The Call to Courage,Documentary,19-Apr-19,76,7.7,English
81,Bright,Urban fantasy,22-Dec-17,117,6.3,English
82,Bulbbul,Horror,24-Jun-20,94,6.6,Hindi
83,Burning Sands,Drama,10-Mar-17,102,6.1,English
84,Cadaver,Horror,22-Oct-20,86,5.1,Norwegian
85,Calibre,Thriller,29-Jun-18,101,6.8,English
86,Cam,Psychological horror,16-Nov-18,94,5.9,English
87,Candy Jar,Comedy,27-Apr-18,92,5.8,English
88,Canvas ,Animation / Short,11-Dec-20,9,6.5,English
89,Cargo,Drama/Horror,18-May-18,104,6.3,English
90,Casting JonBenet,Documentary,28-Apr-17,80,6.1,English
91,Caught by a Wave,Romantic teen drama,25-Mar-21,99,5.7,Italian
92,Chadwick Boseman: Portrait of an Artist,Documentary,17-Apr-21,21,6.5,English
93,Chasing Coral ,Documentary,14-Jul-17,89,8.1,English
94,Choked: Paisa Bolta Hai,Drama,5-Jun-20,114,5.8,Hindi
95,Chopsticks,Comedy,31-May-19,100,6.5,Hindi
96,Christmas Crossfire,Thriller,4-Dec-20,106,4.8,German
97,Christmas Inheritance,Romantic drama,15-Dec-17,104,5.7,English
98,Circus of Books,Documentary,22-Apr-20,92,7.1,English
99,Citation,Drama,6-Nov-20,151,6.2,English
100,City of Joy,Documentary,7-Sep-18,74,7.5,English
101,Class of '83,Drama,21-Aug-20,98,5.8,Hindi
102,Clinical,Thriller,13-Jan-17,104,5.1,English
103,Coffee & Kareem,Action comedy,3-Apr-20,88,5.1,English
104,Coin Heist,Heist,6-Jan-17,97,4.8,English
105,Come Sunday,Biopic,13-Apr-18,106,6,English
106,Como Caído del Cielo,Musical comedy,24-Dec-19,112,6.4,Spanish
107,Concrete Cowboy,Drama,2-Apr-21,111,6.3,English
108,Cops and Robbers,Animation / Short,28-Dec-20,7,6.9,English
109,CounterPunch ,Documentary,16-Jun-17,91,6.7,English
110,"Crack: Cocaine, Corruption & Conspiracy",Documentary,11-Jan-21,89,6.7,English
111,Crazy About Her,Romantic comedy,26-Feb-21,102,6.6,Spanish
112,Crazy Awesome Teachers,Comedy-drama,17-Aug-20,101,6.2,Indonesian
113,Crip Camp: A Disability Revolution,Documentary,25-Mar-20,108,7.7,English
114,Cuba and the Cameraman ,Documentary,24-Nov-17,114,8.3,English
115,Da 5 Bloods,War drama,12-Jun-20,155,6.5,English
116,Dad Wanted,Family,11-Sep-20,102,5.7,Spanish
117,Dance Dreams: Hot Chocolate Nutcracker,Documentary,27-Nov-20,80,7.1,English
118,Dancing with the Birds,Documentary,23-Oct-19,51,8.3,English
119,Dangerous Lies,Thriller,30-Apr-20,97,5.3,English
120,Dark Forces,Thriller,21-Aug-20,81,2.6,Spanish
121,David Attenborough: A Life on Our Planet,Documentary,4-Oct-20,83,9,English
122,Dead Kids,Thriller,1-Dec-19,94,5.5,Filipino
123,Death Note,Horror thriller,25-Aug-17,100,4.4,English
124,Death to 2020,Comedy,27-Dec-20,70,6.8,English
125,Deidra & Laney Rob a Train,Drama,17-Mar-17,94,6.1,English
126,Derren Brown: Sacrifice,Mentalism special,19-Oct-18,49,7.1,English
127,Desperados,Romantic comedy,3-Jul-20,106,5.2,English
128,Despite Everything,Comedy,3-May-19,78,5.4,Spanish
129,Dick Johnson Is Dead,Documentary,2-Oct-20,90,7.5,English
130,Disclosure: Trans Lives on Screen,Documentary,19-Jun-20,107,8.2,English
131,Dolemite Is My Name,Biopic,25-Oct-19,118,7.3,English
132,Dolly Kitty and Those Twinkling Stars,Drama,18-Sep-20,120,5.4,Hindi
133,Dolly Parton: A MusiCares Tribute,Documentary,7-Apr-21,55,6.5,English
134,Dolly Parton's Christmas on the Square,Christmas musical,22-Nov-20,98,5.2,English
135,Double Dad,Comedy-drama,15-Jan-21,103,5.6,Portuguese
136,Drive,Action,1-Nov-19,147,3.5,Hindi
137,Dude,Teen comedy-drama,20-Apr-18,97,5.1,English
138,Earth and Blood,Action,17-Apr-20,80,4.9,French
139,Earthquake Bird,Mystery,15-Nov-19,107,5.9,English
140,El Camino Christmas,Dark comedy,8-Dec-17,89,5.7,English
141,El Camino: A Breaking Bad Movie,Crime drama,11-Oct-19,121,7.3,English
142,El Pepe: A Supreme Life,Documentary,27-Dec-19,73,7.1,Spanish
143,Eli,Horror,18-Oct-19,98,5.7,English
144,Elisa & Marcela,Romance,7-Jun-19,118,6.6,Spanish
145,Emicida: AmarElo - It's All For Yesterday,Documentary,8-Dec-20,89,8.6,Portuguese
146,End Game,Documentary,4-May-18,40,7.1,English
147,Enter the Anime,Documentary,5-Aug-19,58,2.5,English/Japanese
148,Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26-Jun-20,123,6.5,English
149,Evelyn,Documentary,10-Sep-19,96,7.1,English
150,Extinction,Science fiction/Thriller,27-Jul-18,95,5.8,English
151,Extraction,Action,24-Apr-20,117,6.7,English
152,Extremis,Documentary,13-Sep-16,24,7.3,English
153,Falling Inn Love,Romantic comedy,29-Aug-19,97,5.6,English
154,Fatal Affair,Thriller,16-Jul-20,89,4.5,English
155,Father of the Year,Comedy,20-Jul-18,94,5.2,English
156,Father Soldier Son,Documentary,17-Jul-20,100,7.3,English
157,Fearless,Animation/Superhero,14-Aug-20,89,4.9,English
158,Feel the Beat,Family/Comedy-drama,19-Jun-20,107,6.3,English
159,Feminists: What Were They Thinking?,Documentary,12-Oct-18,86,7,English
160,Ferry,Crime drama,14-May-21,106,7.1,Dutch
161,Finding 'Ohana,Family,29-Jan-21,123,6.1,English
162,Finding Agnes,Drama,30-Nov-20,105,4.7,Filipino
163,Fire in Paradise,Documentary,1-Nov-19,39,7.4,English
164,Firebrand,Drama,22-Feb-19,112,5.2,Marathi
